,Title,Date,State,Total Deaths,full place name
10217,81-year-old kidnapped monarch rescued in Calabar,2/23/21,Cross River,0,"Calabar South, Cross River, Nigeria"
10218,"One person abducted, two others sustained injuries during attack by gunmen in Niger",2/23/21,Niger,0,"Lapai, Niger, Nigeria"
10219,"Bandits on treetop kill policeman, injure 3 others in Niger",2/23/21,Niger,1,"Paikoro, Niger, Nigeria"
10220,Gunmen kill four policemen at checkpoint in Anambra,2/24/21,Anambra,4,"Aguata, Anambra, Nigeria"
10221,Another Enugu community leader shot dead in Oruku,2/24/21,Enugu,1,"Nkanu East, Enugu, Nigeria"
10222,Two feared killed as militants raze 40 houses in A-Ibom community,2/24/21,Akwa Ibom,2,"Mbo, Akwa Ibom, Nigeria"
10223,Gunmen raze another police station in Nigeria’s South-east,2/25/21,Imo,0,"Aboh-Mba, Imo, Nigeria"
10224,Nine Killed As Bandits Attack Zamfara Community,2/25/21,Zamfara,9,"Maru, Zamfara, Nigeria"
10225,"Violence in Lagos Mainland: One dead, others injured as suspected cultists clash in Lagos",2/25/21,Lagos,1,", Lagos, Nigeria"
10226,Police confirm killing of 4 officers in Calabar,2/25/21,Cross River,4,"Calabar, Cross River, Nigeria"
10227,"Boko Haram Terrorists Abduct Dozens On Damaturu-Maiduguri Road, Burn Two Vehicles",2/25/21,Borno,0,"Konduga, Borno, Nigeria"
10228,"Cultists in shooting spree, kill 2, injure 5 in Balyesa",2/22/21,Bayelsa,2,"Yenegoa, Bayelsa, Nigeria"
10229,Residents Flee Communities As Bandits Kill Four In Sokoto,2/25/21,Sokoto,3,"Isa, Sokoto, Nigeria"
10230,Residents Flee Communities As Bandits Kill Four In Sokoto,2/25/21,Sokoto,1,"Sabon Birni, Sokoto, Nigeria"
10231,317 schoolgirls abducted in Jangebe attack,2/26/21,Zamfara,0,"Talata-Mafara, Zamfara, Nigeria"
10232,"Anxiety as gunmen invade Abuja community, abducts two",2/26/21,Federal Capital Territory,0,"Bwari, Federal Capital Territory, Nigeria"
10233,Armed robbers storm Oyo APC chairman’s residence,2/26/21,Oyo,0,"Oluyole, Oyo, Nigeria"
10234,"Four killed, chief imam, 25 others kidnapped in fresh attack on Kagara",2/27/21,Niger,4,"Rafi, Niger, Nigeria"
10235,Five electricity workers injured in IED planted by Boko Haram in Borno,2/27/21,Borno,0,"Kaga, Borno, Nigeria"
10236,"Suspected kidnapper killed, seven travellers rescued in Ondo",2/27/21,Ondo,1,"Akoko North-East, Ondo, Nigeria"
